skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
fenris rage	314				137																	fenris_rage		par1		damagepercent	par2																																																						necromancer_corpseexp_1										51	79					corpseexplosion												1	0		none												A1	A1	A1											1						1									1																								1																		500	rage duration - see fenris rage	100	% damage with rage - see fenris rage													1								8																																					0
Baal Tentacle	315				140																																																																																																								1	0		none												S2	S2	S2				1																						1																								1																			?		?		?		?									1																																													0
Baal Nova	316				22												baal nova																																																												baal_novacast											fire_cast_2				25					baal nova												1	0		none												S3	S3	S3																										1																								1																																		1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0
Baal Inferno	317			53	95												baal inferno																																																												baal_missilecast															54					baal inferno												1	0		none												SQ	SQ	xx																										1																								1												par1	length of fire	2	density			20	frame length						?									1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48										0
Baal Cold Missiles	318				139												baal cold maker																																																												baal_coldtrailcast															81					baal cold maker												1	0		none												A1	A1	A1				1																						1																								1																																		1								8															cold	20	9	13	13	13	13	40	9	13	13	13	13		200	50	50	50					0
MegademonInferno	319			53	95												megademoninferno																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	S1																										1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
EvilHutSpawner	320			49	91															spawnedflames																																																																							36	50																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
CountessFirewall	321				24												countessfirewallmaker	countessfirewall																																																											sorceress_cast_fire															26					countessfirewallmaker												1	0		none												SQ	SQ	A1																										1																								1																																		1																																													0
ImpBolt	322				17												imp charged bolt																																																																											23					imp charged bolt												1	0		none												SQ	SQ	A1																										1																								1										lvl+2	#bolts																							1								8																																					0
Horror Arctic Blast	323			53	95												frozenhorror arcticblast1																																																																											54					frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none												SQ	SQ	xx	18																									1																								1												par1	length of fire	2	density			15	frame length															1								8																																					0
death sentry ltng	324													sentrylightningbolt2																																																																																		sentrylightningbolt2													1	0		none												SQ	SQ	xx																	1									1																								1																														12	damage synergy	8	Shots Fired	1								8																																					0
VineCycler	325			67													vine recycler delay				73731				40																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1															1																								1										ln12 + (skill('Oak Sage'.blvl)+skill('Cycle of Life'.blvl)) * par8 / 3	min mana heal	ln34 + (skill('Oak Sage'.blvl)+skill('Cycle of Life'.blvl)) * par8	max mana heal	8	heal stat (mana)			20	min heal	4	min heal per level	40	max heal	12	max heal per level							6	Synergy extra healing	1								8																																					0
BearSmite	326			32	2																																																																								druidbear_attack_1																																1	9		h2h												S1	S1	xx				1		1	1																			1																																		ln34	damage %	"max(250,ln12)"	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8	128																																				0
Resurrect2	327				97																																																																																			healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																								1																																		1																																													0
BloodLordFrenzy	328			37	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																														weapon_giant_1		1		weapon_giant_1																												1	3		none												SQ	SQ	A2				1		1	1																			1																								1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase									1	10	10						8	128																																				0
Baal Teleport	329				98																																																																																						48	73						baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Imp Teleport	330				129																	attached																																																							sorceress_teleport														48	74					imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Baal Clone Teleport	331				98																																																																																						48	73					baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
ZakarumLightning	332													monsterlight																																																															sorceress_cast_lightning											light_cast_1								monsterlight													1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
VampireMissile	333													firehead																																																																																		firehead													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
MephistoMissile	334													mephisto																																																																																		mephisto													1	0		none												SC	SC	A2																										1																								1																																		1								8																																					0
DoomKnightMissile	335				148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	S1																										1																								1																																		1								8																																					0
RogueMissile	336				110												rogue1																																																																											66					rogue1												1	0		none												A1	A1	A1																										1																								1																																		1								8																																					0
HydraMissile	337													hydra																																																																																		hydra													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
NecromageMissile	338				149												necromage1																																																																											95					necromage1												1	0		none												SC	SC	A1																										1																								1																																		1								8																																					0
MonBow	339			4										cr_arrow6																																																																													11					cr_arrow6													1	0		rng												A1	A1	A1				1																						1																								1																																		1								8	128																																				0
MonFireArrow	340			4										firearrow																																																																													11					firearrow													1	0		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9										0
MonColdArrow	341			4										coldarrow																																																																													11					coldarrow													1	4		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														cold	1	7	7	7	7	7	4	8	8	8	8	8		100	25	25	25					0
MonExplodingArrow	342			4										explodingarrow																																																																													11					explodingarrow													1	5		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	2	8	8	8	8	8	6	9	9	9	9	9										0
MonFreezingArrow	343			4										freezingarrow																																																																													11					freezingarrow													1	7		rng												A1	A1	A1				1																						1																								1										par1	damage radius							5	Radius of impact															1	10	10						8	128														cold	2	7	7	7	7	7	6	8	8	8	8	8		100	25	25	25					0
MonPowerStrike	344			6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1											1																								1																																		1	20	15						8	128														ltng	1	0	0	0	0	0	16	12	12	12	12	12										0
SuccubusBolt	345			4										succubusmiss																																																																													11					succubusmiss													1	0		rng												SC	SC	S2				1																						1																								1																																		1								8															mag	10	2	4	6	6	6	15	2	5	7	7	7										0
